"idPlayer","namePlayer","dateBirth","numberJersey","idTeam","teamName","slugTeam","cityTeam","slugPlayer","yearSeasonFirst","yearSeasonLast","yearDraft","numberRound","numberOverallPick","slugSeason","nameSchool","nameOrganizationFrom","heightInches","weightLBS","countSeasonsPlayed","pts","ast","treb","ratioPIE","urlNBAAPI","nameFirst","nameLast","namePlayerAbbr","codeTeam","urlPlayerStats","urlPlayerThumbnail","urlPlayerHeadshot","urlPlayerActionPhoto","urlPlayerPhoto"
1628372,"Dennis Smith Jr.",1997-11-25,5,1610612752,"Knicks","NYK","New York","dennis_smith jr.",2018,2020,2017,1,9,"2019-20","North Carolina State","North Carolina State/USA",74,205,2,5.2,2.7,2.1,0.035,"https://stats.nba.com/stats/commonplayerinfo?LeagueID=00&PlayerID=1628372","Dennis","Smith Jr.","D. Smith Jr.","knicks","https://stats.nba.com/player/1628372","https://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/1628372.png","https://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/1628372.png","https://stats.nba.com/media/players/700/1628372.png","https://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/1628372.png"
1628373,"Frank Ntilikina",1998-07-28,11,1610612752,"Knicks","NYK","New York","frank_ntilikina",2018,2020,2017,1,8,"2019-20",NA,"Strasbourg IG/France",76,200,2,5.9,3.2,2.1,0.058,"https://stats.nba.com/stats/commonplayerinfo?LeagueID=00&PlayerID=1628373","Frank","Ntilikina","F. Ntilikina","knicks","https://stats.nba.com/player/1628373","https://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/1628373.png","https://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/1628373.png","https://stats.nba.com/media/players/700/1628373.png","https://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/1628373.png"
1628374,"Lauri Markkanen",1997-05-22,24,1610612741,"Bulls","CHI","Chicago","lauri_markkanen",2018,2020,2017,1,7,"2019-20","Arizona","Arizona/Finland",84,240,2,15.1,1.7,6.7,0.11,"https://stats.nba.com/stats/commonplayerinfo?LeagueID=00&PlayerID=1628374","Lauri","Markkanen","L. Markkanen","bulls","https://stats.nba.com/player/1628374","https://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/1628374.png","https://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/1628374.png","https://stats.nba.com/media/players/700/1628374.png","https://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/1628374.png"
1628378,"Donovan Mitchell",1996-09-07,45,1610612762,"Jazz","UTA","Utah","donovan_mitchell",2018,2020,2017,1,13,"2019-20","Louisville","Louisville/USA",73,215,2,24.9,4.3,4.6,0.134,"https://stats.nba.com/stats/commonplayerinfo?LeagueID=00&PlayerID=1628378","Donovan","Mitchell","D. Mitchell","jazz","https://stats.nba.com/player/1628378","https://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/1628378.png","https://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/1628378.png","https://stats.nba.com/media/players/700/1628378.png","https://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/1628378.png"
1628379,"Luke Kennard",1996-06-24,5,1610612765,"Pistons","DET","Detroit","luke_kennard",2018,2020,2017,1,12,"2019-20","Duke","Duke/USA",77,206,2,15.8,4.1,3.5,0.098,"https://stats.nba.com/stats/commonplayerinfo?LeagueID=00&PlayerID=1628379","Luke","Kennard","L. Kennard","pistons","https://stats.nba.com/player/1628379","https://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/1628379.png","https://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/1628379.png","https://stats.nba.com/media/players/700/1628379.png","https://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/1628379.png"
1628380,"Zach Collins",1997-11-19,33,1610612757,"Trail Blazers","POR","Portland","zach_collins",2018,2020,2017,1,10,"2019-20","Gonzaga","Gonzaga/USA",83,250,2,9,2,4,0.051,"https://stats.nba.com/stats/commonplayerinfo?LeagueID=00&PlayerID=1628380","Zach","Collins","Z. Collins","blazers","https://stats.nba.com/player/1628380","https://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/1628380.png","https://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/1628380.png","https://stats.nba.com/media/players/700/1628380.png","https://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/1628380.png"
1628381,"John Collins",1997-09-23,20,1610612737,"Hawks","ATL","Atlanta","john_collins",2018,2020,2017,1,19,"2019-20","Wake Forest","Wake Forest/USA",81,235,2,18.3,1.7,9.9,0.162,"https://stats.nba.com/stats/commonplayerinfo?LeagueID=00&PlayerID=1628381","John","Collins","J. Collins","hawks","https://stats.nba.com/player/1628381","https://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/1628381.png","https://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/1628381.png","https://stats.nba.com/media/players/700/1628381.png","https://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/1628381.png"
1628382,"Justin Jackson",1995-03-28,44,1610612742,"Mavericks","DAL","Dallas","justin_jackson",2018,2020,2017,1,15,"2019-20","North Carolina","North Carolina/USA",79,220,2,6.1,0.6,2.5,0.071,"https://stats.nba.com/stats/commonplayerinfo?LeagueID=00&PlayerID=1628382","Justin","Jackson","J. Jackson","mavericks","https://stats.nba.com/player/1628382","https://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/1628382.png","https://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/1628382.png","https://stats.nba.com/media/players/700/1628382.png","https://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/1628382.png"
1628383,"Justin Patton",1997-06-14,13,1610612760,"Thunder","OKC","Oklahoma City","justin_patton",2018,2020,2017,1,16,"2019-20","Creighton","Creighton/USA",83,241,2,1,0,1,-0.072,"https://stats.nba.com/stats/commonplayerinfo?LeagueID=00&PlayerID=1628383","Justin","Patton","J. Patton","thunder","https://stats.nba.com/player/1628383","https://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/1628383.png","https://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/1628383.png","https://stats.nba.com/media/players/700/1628383.png","https://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/1628383.png"
1628384,"OG Anunoby",1997-07-17,3,1610612761,"Raptors","TOR","Toronto","og_anunoby",2018,2020,2017,1,23,"2019-20","Indiana","Indiana/United Kingdom",79,232,2,11.1,1.7,5.9,0.089,"https://stats.nba.com/stats/commonplayerinfo?LeagueID=00&PlayerID=1628384","OG","Anunoby","O. Anunoby","raptors","https://stats.nba.com/player/1628384","https://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/1628384.png","https://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/1628384.png","https://stats.nba.com/media/players/700/1628384.png","https://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/1628384.png"
