"idGame","slugTeam","idTeam","teamName","cityTeam","minExact","ptsOffTOV","ptsSecondChance","ptsFastBreak","ptsPaint","ptsOffTOVOpponent","ptsSecondChanceOpponent","ptsFastBreakOpponent","ptsPaintOpponent","blk","blka","pf","pfd"
21900201,"OKC",1610612760,"Thunder","Oklahoma City",240,11,4,16,42,27,25,30,50,2,8,22,20
21900201,"LAL",1610612747,"Lakers","Los Angeles",240,27,25,30,50,11,4,16,42,8,2,20,22
21900202,"PHI",1610612755,"76ers","Philadelphia",240,20,11,19,40,14,11,9,30,5,6,14,25
21900202,"NYK",1610612752,"Knicks","New York",240,14,11,9,30,20,11,19,40,6,5,25,14
21900203,"WAS",1610612764,"Wizards","Washington",240,15,7,14,52,19,12,16,52,3,8,20,13
21900203,"SAS",1610612759,"Spurs","San Antonio",240,19,12,16,52,15,7,14,52,8,3,13,20
21900204,"MIL",1610612749,"Bucks","Milwaukee",240,16,9,13,50,25,10,12,50,8,2,25,26
21900204,"ATL",1610612737,"Hawks","Atlanta",240,25,10,12,50,16,9,13,50,2,8,26,25
21900205,"CHA",1610612766,"Hornets","Charlotte",240,18,9,8,36,16,17,9,46,3,1,23,21
21900205,"BKN",1610612751,"Nets","Brooklyn",240,16,17,9,46,18,9,8,36,1,3,21,23
21900206,"MIA",1610612748,"Heat","Miami",240,14,19,7,32,21,15,11,40,5,2,20,23
21900206,"CLE",1610612739,"Cavaliers","Cleveland",240,21,15,11,40,14,19,7,32,2,5,23,20
21900207,"TOR",1610612761,"Raptors","Toronto",240,17,10,5,68,17,9,16,40,5,8,21,16
21900207,"ORL",1610612753,"Magic","Orlando",240,17,9,16,40,17,10,5,68,8,5,16,21
21900208,"GSW",1610612744,"Warriors","Golden State",240,11,13,15,44,15,11,16,48,5,7,16,21
21900208,"DAL",1610612742,"Mavericks","Dallas",240,15,11,16,48,11,13,15,44,7,5,21,16
21900209,"DET",1610612765,"Pistons","Detroit",240,18,10,9,36,24,23,18,48,8,7,20,24
21900209,"CHI",1610612741,"Bulls","Chicago",240,24,23,18,48,18,10,9,36,7,8,24,20
21900210,"UTA",1610612762,"Jazz","Utah",240,20,18,16,38,15,17,8,42,6,9,21,20
21900210,"MIN",1610612750,"Timberwolves","Minnesota",240,15,17,8,42,20,18,16,38,9,6,20,21
21900211,"HOU",1610612745,"Rockets","Houston",240,17,8,20,38,32,19,20,60,2,4,22,21
21900211,"DEN",1610612743,"Nuggets","Denver",240,32,19,20,60,17,8,20,38,4,2,21,22
21900212,"LAC",1610612746,"Clippers","LA",265,14,10,8,32,23,14,17,52,9,2,18,22
21900212,"BOS",1610612738,"Celtics","Boston",265,23,14,17,52,14,10,8,32,2,9,22,18
21900213,"POR",1610612757,"Trail Blazers","Portland",240,19,9,24,38,17,27,19,64,11,3,27,20
21900213,"MIL",1610612749,"Bucks","Milwaukee",240,17,27,19,64,19,9,24,38,3,11,20,27
21900214,"PHX",1610612756,"Suns","Phoenix",240,19,12,15,46,18,14,12,46,3,6,19,25
21900214,"NOP",1610612740,"Pelicans","New Orleans",240,18,14,12,46,19,12,15,46,6,3,25,19
21900215,"DET",1610612765,"Pistons","Detroit",240,21,19,14,62,18,19,13,54,10,2,17,18
21900215,"ATL",1610612737,"Hawks","Atlanta",240,18,19,13,54,21,19,14,62,2,10,18,17
21900216,"WAS",1610612764,"Wizards","Washington",240,20,8,15,54,11,8,17,64,3,5,13,18
21900216,"CHA",1610612766,"Hornets","Charlotte",240,11,8,17,64,20,8,15,54,5,3,18,13
21900217,"SAC",1610612758,"Kings","Sacramento",240,21,7,13,56,18,19,12,52,2,3,25,18
21900217,"BKN",1610612751,"Nets","Brooklyn",240,18,19,12,52,21,7,13,56,3,2,18,25
21900218,"SAS",1610612759,"Spurs","San Antonio",240,7,6,15,48,12,16,17,44,3,4,15,21
21900218,"PHI",1610612755,"76ers","Philadelphia",240,12,16,17,44,7,6,15,48,4,3,21,15
21900219,"MIA",1610612748,"Heat","Miami",240,22,15,6,44,26,15,10,58,3,3,17,24
21900219,"CHI",1610612741,"Bulls","Chicago",240,26,15,10,58,22,15,6,44,3,3,24,17
21900220,"OKC",1610612760,"Thunder","Oklahoma City",240,19,8,7,62,14,17,19,50,3,6,23,20
21900220,"LAL",1610612747,"Lakers","Los Angeles",240,14,17,19,50,19,8,7,62,6,3,20,23
21900221,"DAL",1610612742,"Mavericks","Dallas",240,13,15,14,70,10,2,23,44,7,3,18,15
21900221,"CLE",1610612739,"Cavaliers","Cleveland",240,10,2,23,44,13,15,14,70,3,7,15,18
21900222,"DEN",1610612743,"Nuggets","Denver",240,12,14,7,44,23,14,20,46,5,6,17,19
21900222,"BOS",1610612738,"Celtics","Boston",240,23,14,20,46,12,14,7,44,6,5,19,17
21900223,"UTA",1610612762,"Jazz","Utah",240,13,0,8,46,31,10,18,52,10,3,14,18
21900223,"GSW",1610612744,"Warriors","Golden State",240,31,10,18,52,13,0,8,46,3,10,18,14
21900224,"LAC",1610612746,"Clippers","LA",240,19,16,24,52,16,7,15,46,4,2,32,27
21900224,"HOU",1610612745,"Rockets","Houston",240,16,7,15,46,19,16,24,52,2,4,27,32
21900225,"PHX",1610612756,"Suns","Phoenix",240,13,9,7,30,9,9,4,52,3,10,17,23
21900225,"MIN",1610612750,"Timberwolves","Minnesota",240,9,9,4,52,13,9,7,30,10,3,23,17
21900226,"CHI",1610612741,"Bulls","Chicago",240,22,18,8,38,14,10,4,60,3,7,20,17
21900226,"CHA",1610612766,"Hornets","Charlotte",240,14,10,4,60,22,18,8,38,7,3,17,20
21900227,"ORL",1610612753,"Magic","Orlando",240,21,7,19,46,15,12,8,50,5,6,16,14
21900227,"IND",1610612754,"Pacers","Indiana",240,15,12,8,50,21,7,19,46,6,5,14,16
21900228,"TOR",1610612761,"Raptors","Toronto",240,22,21,16,50,22,12,14,58,5,7,16,27
21900228,"ATL",1610612737,"Hawks","Atlanta",240,22,12,14,58,22,21,16,50,7,5,27,16
21900229,"SAS",1610612759,"Spurs","San Antonio",240,19,15,10,38,23,6,7,42,3,3,17,22
21900229,"NYK",1610612752,"Knicks","New York",240,23,6,7,42,19,15,10,38,3,3,22,17
21900230,"PHI",1610612755,"76ers","Philadelphia",240,24,8,16,34,14,15,7,36,2,4,27,16
21900230,"MIA",1610612748,"Heat","Miami",240,14,15,7,36,24,8,16,34,4,2,16,27
21900231,"POR",1610612757,"Trail Blazers","Portland",240,9,3,2,36,11,14,7,50,6,2,20,14
21900231,"CLE",1610612739,"Cavaliers","Cleveland",240,11,14,7,50,9,3,2,36,2,6,14,20
21900232,"MEM",1610612763,"Grizzlies","Memphis",240,23,20,27,52,29,16,17,46,3,7,19,14
21900232,"LAL",1610612747,"Lakers","Los Angeles",240,29,16,17,46,23,20,27,52,7,3,14,19
21900233,"MIL",1610612749,"Bucks","Milwaukee",240,22,13,25,54,20,15,12,48,8,3,14,18
21900233,"DET",1610612765,"Pistons","Detroit",240,20,15,12,48,22,13,25,54,3,8,18,14
21900234,"UTA",1610612762,"Jazz","Utah",240,13,6,12,48,18,10,6,42,4,6,21,24
21900234,"NOP",1610612740,"Pelicans","New Orleans",240,18,10,6,42,13,6,12,48,6,4,24,21
21900235,"HOU",1610612745,"Rockets","Houston",240,18,13,20,66,19,16,18,60,2,5,26,22
21900235,"DAL",1610612742,"Mavericks","Dallas",240,19,16,18,60,18,13,20,66,5,2,22,26
21900236,"NYK",1610612752,"Knicks","New York",240,14,10,10,30,23,11,8,32,4,1,29,16
21900236,"BKN",1610612751,"Nets","Brooklyn",240,23,11,8,32,14,10,10,30,1,4,16,29
21900237,"WAS",1610612764,"Wizards","Washington",240,17,19,7,52,15,10,10,46,2,5,23,17
21900237,"SAC",1610612758,"Kings","Sacramento",240,15,10,10,46,17,19,7,52,5,2,17,23
21900238,"PHX",1610612756,"Suns","Phoenix",240,10,9,5,46,12,24,12,48,2,2,18,16
21900238,"DEN",1610612743,"Nuggets","Denver",240,12,24,12,48,10,9,5,46,2,2,16,18
21900239,"NOP",1610612740,"Pelicans","New Orleans",240,5,19,13,50,10,24,10,56,6,5,26,21
21900239,"LAC",1610612746,"Clippers","LA",240,10,24,10,56,5,19,13,50,5,6,21,26
21900240,"CLE",1610612739,"Cavaliers","Cleveland",240,11,14,12,48,16,19,8,60,4,10,14,21
21900240,"BKN",1610612751,"Nets","Brooklyn",240,16,19,8,60,11,14,12,48,10,4,21,14
