"idGame","namePlayer","passes","fgmContested","fgaContested","pctFGContested","fgmUncontested","fgaUncontested","pctFGUncontested","fgmRimDefended","fgaRimDefended","pctFGRimDefended","distMiles","mphMean","orebChances","drebChances","trebChances","touches","astSecondary","ftAST","ast"
21900005,"Dean Wade",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
21900005,"Jonathan Isaac",33,1,2,0.5,0,1,0,0,2,0,1.83,4.43,3,11,14,39,0,0,2
21900005,"Aaron Gordon",12,1,3,0.333,1,5,0.2,0,3,0,2.22,4.35,1,6,7,26,0,0,3
21900005,"Nikola Vucevic",40,6,9,0.667,2,7,0.286,3,5,0.6,2.25,3.73,2,9,11,61,0,1,3
21900005,"Evan Fournier",19,4,8,0.5,3,5,0.6,1,2,0.5,2.15,4.27,2,5,7,35,1,0,4
21900005,"D.J. Augustin",42,1,2,0.5,3,7,0.429,0,0,0,1.9,4.4,2,4,6,54,2,1,5
21900005,"Markelle Fultz",43,2,3,0.667,4,9,0.444,0,1,0,1.8,4.34,0,0,0,61,0,0,6
21900005,"Al-Farouq Aminu",30,0,3,0,1,2,0.5,2,4,0.5,2.21,4.31,4,10,13,39,0,0,0
21900005,"Mo Bamba",11,2,2,1,1,3,0.333,3,4,0.75,0.98,3.99,4,8,10,17,0,0,1
21900005,"Terrence Ross",17,1,2,0.5,3,11,0.273,1,2,0.5,1.51,4.4,0,6,6,32,0,0,0
21900005,"Michael Carter-Williams",6,1,1,1,0,1,0,0,0,0,1.15,4.45,3,4,7,9,0,0,0
21900005,"Khem Birch",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
21900005,"Melvin Frazier Jr.",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
21900005,"Wes Iwundu",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
21900006,"Treveon Graham",30,3,8,0.375,1,5,0.2,0,1,0,2.67,4.35,9,6,15,47,0,0,4
21900006,"Robert Covington",40,3,4,0.75,3,7,0.429,4,4,1,2.42,4.21,7,11,16,55,0,0,0
21900006,"Karl-Anthony Towns",57,3,6,0.5,8,16,0.5,5,15,0.333,2.66,3.89,4,23,26,86,0,0,3
21900006,"Andrew Wiggins",26,9,20,0.45,1,7,0.143,3,4,0.75,2.64,4.12,8,5,13,58,0,0,0
