"typeResult","idGame","namePlayer","teamName","PARTIAL_POSS","SWITCHES_ON","ptsPlayerAllowed","dreb","MATCHUP_AST","MATCHUP_TOV","stl","blk","MATCHUP_FGM","MATCHUP_FGA","MATCHUP_FG_PCT","MATCHUP_FG3M","MATCHUP_FG3A","MATCHUP_FG3_PCT"
"player",21900023,"Mason Plumlee","Nuggets",14.56,0,7,5,0,0,0,1,2,8,0.25,0,0,0
"player",21900023,"Monte Morris","Nuggets",15.74,0,0,0,1,2,0,0,0,1,0,0,0,0
"player",21900024,"Rodney Hood","Trail Blazers",45.02,0,2,4,2,2,1,1,0,3,0,0,1,0
"player",21900024,"Zach Collins","Trail Blazers",47.31,0,13,1,2,2,0,0,4,21,0.19,0,7,0
"player",21900024,"Hassan Whiteside","Trail Blazers",38.79,0,15,7,2,5,1,1,6,16,0.375,1,5,0.2
"player",21900024,"CJ McCollum","Trail Blazers",50.69,0,7,2,1,2,1,0,2,8,0.25,0,4,0
"player",21900024,"Damian Lillard","Trail Blazers",51.05,0,22,5,1,0,3,0,7,12,0.583,5,8,0.625
"player",21900024,"Anthony Tolliver","Trail Blazers",17.67,0,12,2,0,0,0,0,5,5,1,2,2,1
"player",21900024,"Kent Bazemore","Trail Blazers",35.5,0,16,8,2,1,0,2,3,9,0.333,2,5,0.4
"player",21900024,"Anfernee Simons","Trail Blazers",30.54,0,6,2,3,1,1,0,2,3,0.667,2,2,1
"player",21900024,"Mario Hezonja","Trail Blazers",25.65,0,8,4,2,0,1,0,3,4,0.75,2,2,1
"player",21900024,"Skal Labissiere","Trail Blazers",8.02,0,4,0,0,2,0,1,2,4,0.5,0,0,0
"player",21900024,"Gary Trent Jr.","Trail Blazers",2.28,0,2,0,0,0,0,0,1,1,1,0,0,0
"player",21900024,"Nassir Little","Trail Blazers",2.28,0,2,0,0,0,0,0,1,1,1,0,0,0
"player",21900024,"Harrison Barnes","Kings",45.87,0,12,2,1,0,1,0,4,7,0.571,4,6,0.667
"player",21900024,"Nemanja Bjelica","Kings",37.23,0,20,5,2,0,1,0,9,18,0.5,2,8,0.25
"player",21900024,"Dewayne Dedmon","Kings",28.95,0,21,5,1,1,1,0,7,11,0.636,1,1,1
"player",21900024,"Buddy Hield","Kings",44.02,0,15,4,5,2,0,0,7,12,0.583,1,3,0.333
"player",21900024,"De'Aaron Fox","Kings",45.89,0,14,6,3,2,0,0,5,10,0.5,2,5,0.4
"player",21900024,"Trevor Ariza","Kings",28.76,0,6,1,0,1,1,0,3,6,0.5,0,1,0
"player",21900024,"Richaun Holmes","Kings",23.7,0,11,4,2,6,0,2,3,9,0.333,0,1,0
"player",21900024,"Bogdan Bogdanovic","Kings",38.4,0,8,1,2,3,3,0,3,8,0.375,0,4,0
"player",21900024,"Cory Joseph","Kings",19.78,0,13,2,1,1,0,0,5,5,1,1,1,1
"player",21900024,"Yogi Ferrell","Kings",3.48,0,0,0,0,2,1,0,0,0,0,0,0,0
"player",21900024,"Justin James","Kings",3.48,0,0,0,0,0,0,0,0,0,0,0,0,0
"player",21900024,"Wenyen Gabriel","Kings",3.47,0,0,0,0,0,1,0,0,0,0,0,0,0
"player",21900024,"Caleb Swanigan","Kings",3.48,0,0,0,0,0,1,0,0,0,0,0,0,0
"player",21900025,"Joe Ingles","Jazz",37.38,0,18,3,0,0,0,0,6,8,0.75,3,5,0.6
"player",21900025,"Jeff Green","Jazz",32.15,0,13,3,2,1,1,0,6,14,0.429,1,3,0.333
"player",21900025,"Rudy Gobert","Jazz",44.56,0,10,9,2,4,2,0,3,13,0.231,0,2,0
"player",21900025,"Donovan Mitchell","Jazz",46.96,0,3,5,2,4,3,1,1,7,0.143,1,2,0.5
"player",21900025,"Mike Conley","Jazz",40.12,0,11,3,0,1,0,0,5,10,0.5,1,1,1
"player",21900025,"Royce O'Neale","Jazz",36.35,0,22,3,1,2,0,0,7,12,0.583,2,4,0.5
"player",21900025,"Emmanuel Mudiay","Jazz",22.77,0,3,2,1,1,1,0,0,1,0,0,1,0
"player",21900025,"Georges Niang","Jazz",31.34,0,2,2,0,1,0,0,1,5,0.2,0,0,0
"player",21900025,"Ed Davis","Jazz",13.43,0,3,2,1,0,1,0,1,3,0.333,0,1,0
"player",21900025,"Tony Bradley","Jazz",7.21,0,0,2,1,0,0,0,0,0,0,0,0,0
"player",21900025,"Stanton Kidd","Jazz",6.53,0,1,0,0,0,0,0,0,4,0,0,2,0
"player",21900025,"Jarrell Brantley","Jazz",6.52,0,6,3,0,0,0,1,3,5,0.6,0,1,0
"player",21900025,"Nigel Williams-Goss","Jazz",0.71,0,0,0,0,0,0,0,0,0,0,0,0,0
"player",21900025,"LeBron James","Lakers",36.6,0,3,5,3,1,1,0,1,2,0.5,1,2,0.5
