"typeResult","idGame","slugTeam","namePlayer","groupStartPosition","idTeam","idPlayer","pctAST","pctOREB","pctDREB","pctTREB","pctTOVTeam","pctEFG","pctTS","pctUSG","pctUSGE","cityTeam","isStarter","minExact","ortgE","ortg","drtgE","drtg","netrtgE","netrtg","ratioASTtoTOV","ratioAST","paceE","pace","PACE_PER40","possessions","ratioPIE"
"player",21900003,"CHI","Otto Porter Jr.","F",1610612741,203490,0.04,0,0.077,0.037,0,0.35,0.414,0.153,0.154,"Chicago",TRUE,27.7166666666667,121.4,125.8,108.5,104.9,12.9,20.9,0,8.3,106.71,106.54,88.78,62,0.043
"player",21900003,"CHI","Lauri Markkanen","F",1610612741,1628374,0.111,0.116,0.364,0.224,3,0.54,0.595,0.337,0.342,"Chicago",TRUE,34.3666666666667,105.7,106.8,117.8,114.5,-12.1,-7.7,2,6.1,103.75,104.75,87.29,74,0.247
"player",21900003,"CHI","Wendell Carter Jr.","C",1610612741,1628976,0,0.147,0.133,0.141,7.7,0.455,0.505,0.165,0.168,"Chicago",TRUE,29.4,120.7,121.2,116.1,116.4,4.6,4.8,0,0,108.92,108.56,90.47,66,0.058
"player",21900003,"CHI","Zach LaVine","G",1610612741,203897,0.35,0.07,0.107,0.085,17.2,0.441,0.459,0.256,0.259,"Chicago",TRUE,30,103.3,103,117.2,113.4,-13.9,-10.4,1.4,24.1,104.54,106.4,88.67,66,0.099
"player",21900003,"CHI","Tomas Satoransky","G",1610612741,203107,0.13,0,0,0,0,0.2,0.2,0.074,0.075,"Chicago",TRUE,24.3666666666667,111.4,113.2,104,101.8,7.4,11.4,0,37.5,106.06,106.37,88.65,53,-0.005
"player",21900003,"CHI","Luke Kornet",NA,1610612741,1628436,0,0.182,0.333,0.235,25,0,0,0.182,0.192,"Chicago",TRUE,6.83333333333333,94.1,87.5,138.5,129.4,-44.5,-41.9,0,0,108.17,116.04,96.7,16,-0.069
"player",21900003,"CHI","Coby White",NA,1610612741,1629632,0.269,0,0.136,0.058,4.3,0.5,0.559,0.229,0.229,"Chicago",TRUE,27.15,129.8,133.9,121.5,121.7,8.3,12.2,7,30.4,106.89,105.19,87.66,59,0.114
"player",21900003,"CHI","Thaddeus Young",NA,1610612741,201152,0.091,0.038,0.105,0.067,7.1,0.773,0.773,0.185,0.186,"Chicago",TRUE,25.4,134,137.5,122.2,125,11.8,12.5,2,14.3,104.56,102.03,85.02,56,0.126
"player",21900003,"CHI","Kris Dunn",NA,1610612741,1627739,0.1,0.037,0.059,0.045,0,0.714,0.698,0.117,0.117,"Chicago",TRUE,23.85,123,125,137.8,135.2,-14.8,-10.2,0,22.2,106.5,106.7,88.92,52,0.099
"player",21900003,"CHI","Ryan Arcidiacono",NA,1610612741,1627853,0.111,0.231,0,0.125,0,1,1,0.107,0.109,"Chicago",TRUE,10.9333333333333,111.4,108.7,147.3,150,-35.9,-41.3,0,25,102.91,103.17,85.98,23,0.136
"player",21900003,"CHA","Miles Bridges","F",1610612766,1628970,0.12,0,0.119,0.07,23.1,0.571,0.571,0.128,0.13,"Charlotte",TRUE,31.7,114.5,112.5,109.7,111.3,4.9,1.2,1,23.1,108.11,108.29,90.24,72,0.086
"player",21900003,"CHA","P.J. Washington","F",1610612766,1629023,0.038,0.029,0.071,0.052,17.4,0.735,0.755,0.237,0.248,"Charlotte",TRUE,37.6166666666667,124.8,122.9,114.7,117.5,10.1,5.4,0.25,4.3,104.4,104,86.66,83,0.106
"player",21900003,"CHA","Cody Zeller","C",1610612766,203469,0.038,0.118,0.17,0.148,6.7,0.545,0.588,0.165,0.164,"Charlotte",TRUE,35.1,113.9,114.1,109.4,111.7,4.5,2.4,1,6.7,107.2,106,88.33,78,0.101
"player",21900003,"CHA","Dwayne Bacon","G",1610612766,1628407,0.167,0.031,0.091,0.066,6.9,0.429,0.465,0.329,0.343,"Charlotte",TRUE,33.1,104.6,101.4,106.5,108.5,-1.9,-7.1,1.5,10.3,103.69,104.41,87.01,73,0.101
"player",21900003,"CHA","Terry Rozier","G",1610612766,1626179,0.25,0.033,0.097,0.066,20,0.3,0.335,0.182,0.192,"Charlotte",TRUE,30.4166666666667,107.4,104.3,127.1,131.9,-19.7,-27.6,1.5,30,110.15,109.71,91.42,70,0.023
"player",21900003,"CHA","Devonte' Graham",NA,1610612766,1628984,0.381,0.043,0.094,0.073,5.3,1.111,1.114,0.169,0.18,"Charlotte",TRUE,27.3166666666667,136.7,134.5,114.4,114.3,22.3,20.2,8,42.1,99.32,100.16,83.47,58,0.222
"player",21900003,"CHA","Marvin Williams",NA,1610612766,101107,0.083,0,0.118,0.065,0,0.944,0.944,0.214,0.235,"Charlotte",TRUE,16.8833333333333,141.6,138.9,137.5,136.1,4.1,2.8,0,10,100.84,102.32,85.27,36,0.166
"player",21900003,"CHA","Nicolas Batum",NA,1610612766,201587,0.154,0.111,0.231,0.182,50,0,0,0.067,0.068,"Charlotte",TRUE,11.2,134.3,136,124.4,126.9,9.8,9.1,1,50,111.09,109.29,91.07,25,0.026
"player",21900003,"CHA","Malik Monk",NA,1610612766,1628370,0.2,0,0.059,0.032,22.2,0.875,0.875,0.14,0.142,"Charlotte",TRUE,16.6833333333333,128.3,132.4,133.9,136.8,-5.6,-4.4,1.5,33.3,110.83,107.89,89.91,37,0.056
"player",21900004,"DET","Tony Snell","F",1610612765,203503,0.074,0,0.063,0.033,10,0.714,0.714,0.108,0.112,"Detroit",TRUE,31.8833333333333,126.2,122.7,106.7,102.9,19.5,19.8,2,20,97.68,100.87,84.06,66,0.042
"player",21900004,"DET","Markieff Morris","F",1610612765,202693,0.133,0,0.115,0.07,12.5,0.318,0.337,0.292,0.308,"Detroit",TRUE,22.6,98.8,95.7,101,102.2,-2.2,-6.5,1,12.5,96.68,97.7,81.42,46,0.025
"player",21900004,"DET","Andre Drummond","C",1610612765,203083,0.111,0.184,0.364,0.28,7.4,0.667,0.714,0.245,0.259,"Detroit",TRUE,40.8,109.8,104.4,101.6,102.2,8.2,2.1,1,7.4,103.6,105.88,88.24,91,0.297
"player",21900004,"DET","Bruce Brown","G",1610612765,1628971,0.2,0.042,0.088,0.069,21.4,0.5,0.509,0.149,0.167,"Detroit",TRUE,28.8166666666667,119.9,106.5,97.9,103.4,22,3.1,1.33,28.6,97.69,100.75,83.96,62,0.041
"player",21900004,"DET","Reggie Jackson","G",1610612765,202704,0.417,0,0.043,0.025,11.1,0.833,0.833,0.085,0.088,"Detroit",TRUE,20.35,94.6,93,89.4,88.4,5.2,4.7,5,55.6,100.01,101.43,84.52,43,0.151
"player",21900004,"DET","Luke Kennard",NA,1610612765,1628379,0.111,0,0.115,0.06,4.8,0.846,0.862,0.253,0.261,"Detroit",TRUE,28.0666666666667,129.9,127.7,109.6,107.6,20.4,20.1,2,9.5,110.05,112.04,93.37,65,0.198
"player",21900004,"DET","Derrick Rose",NA,1610612765,201565,0.45,0.045,0.077,0.063,14.8,0.545,0.639,0.277,0.289,"Detroit",TRUE,26.5833333333333,133.1,127.1,116.4,118.6,16.7,8.5,2.25,33.3,105.2,106.53,88.78,59,0.136
"player",21900004,"DET","Thon Maker",NA,1610612765,1627748,0,0,0.167,0.08,0,0.25,0.41,0.132,0.135,"Detroit",TRUE,15.9833333333333,117.8,114.3,125.1,122.9,-7.4,-8.6,0,0,102.63,105.15,87.63,35,0.007
"player",21900004,"DET","Langston Galloway",NA,1610612765,204038,0,0.071,0.136,0.111,42.9,0.625,0.625,0.135,0.142,"Detroit",TRUE,20.0166666666667,121.6,114.6,95.5,91.7,26.1,22.9,0,0,109.47,115.08,95.9,48,0.05
"player",21900004,"DET","Christian Wood",NA,1610612765,1626174,0,0,0,0,100,0,0,0.1,0.102,"Detroit",TRUE,3.83333333333333,137,133.3,144.4,130,-7.5,3.3,0,0,111.19,118.96,99.13,9,-0.045
"player",21900004,"DET","Tim Frazier",NA,1610612765,204025,0,0,0,0,0,0,0,0.333,0.347,"Detroit",TRUE,1.06666666666667,212.8,200,106.4,100,106.4,100,0,0,84.6,90,75,2,-0.286
"player",21900004,"IND","T.J. Warren","F",1610612754,203933,0,0.031,0,0.016,7.1,0.417,0.388,0.182,0.183,"Indiana",TRUE,33.5333333333333,110.5,113,110.5,110.4,0,2.6,0,0,98.42,97.34,81.11,69,-0.015
"player",21900004,"IND","Domantas Sabonis","F",1610612754,1627734,0.105,0.119,0.25,0.176,9.5,0.733,0.785,0.204,0.211,"Indiana",TRUE,35.6833333333333,100.1,100,100.3,96.3,-0.2,3.8,1,9.5,105.37,107.6,89.67,80,0.247
"player",21900004,"IND","Myles Turner","C",1610612754,1626167,0,0.056,0.206,0.129,20,0.733,0.766,0.23,0.231,"Indiana",TRUE,38.0833333333333,109.2,111.4,120.5,117.9,-11.2,-6.6,0,0,98.89,98.94,82.45,79,0.151
"player",21900004,"IND","Jeremy Lamb","G",1610612754,203087,0.214,0.033,0.136,0.077,11.8,0.364,0.406,0.23,0.233,"Indiana",TRUE,25.8666666666667,94.3,96.3,114.6,107.4,-20.4,-11.1,1.5,17.6,98.13,100.21,83.51,54,0.04
"player",21900004,"IND","Malcolm Brogdon","G",1610612754,1627763,0.458,0,0.097,0.045,6.5,0.462,0.617,0.244,0.245,"Indiana",TRUE,35.85,109.8,112.2,120.2,117.6,-10.4,-5.4,5.5,35.5,99.03,99.08,82.57,74,0.16
"player",21900004,"IND","Edmond Sumner",NA,1610612754,1628410,0.125,0.045,0,0.027,11.1,0.5,0.5,0.13,0.135,"Indiana",TRUE,21.8833333333333,100.1,98,145.5,142,-45.4,-44,2,22.2,106.15,108.61,90.51,49,0.033
"player",21900004,"IND","Justin Holiday",NA,1610612754,203200,0.143,0,0,0,0,0,0,0.053,0.056,"Indiana",TRUE,14.5833333333333,106.8,102.9,130.6,119.4,-23.8,-16.5,0,50,108.09,115.2,96,34,-0.031
