"typeResult","idGame","namePlayer","fgContested","fg2Contested","fg3Contested","boxOutsPlayerTeamRebound","screenAssist","ptsScreenAssist","pts","deflections","chargesDrawn","looseBallsRecoveredOffense","looseBallsRecoveredDefense","looseBallsRecovered","boxOutsOffense","boxOutsDefense","boxOutsPlayerTREB","boxOuts"
"player",21900006,"Caris LeVert",8,4,4,"0",1,2,20,5,0,0,1,1,0,1,0,1
"player",21900006,"Kyrie Irving",3,2,1,"0",0,0,50,1,0,2,0,2,0,1,0,1
"player",21900006,"David Nwaba",3,2,1,"1",0,0,1,1,0,0,0,0,0,3,0,3
"player",21900006,"DeAndre Jordan",2,2,0,"2",6,14,2,0,0,0,0,0,0,2,1,2
"player",21900006,"Garrett Temple",7,3,4,"1",0,0,4,2,0,0,1,1,0,1,0,1
"player",21900006,"Spencer Dinwiddie",5,3,2,"1",0,0,14,1,0,0,0,0,0,1,0,1
"player",21900006,"Rodions Kurucs",2,1,1,"0",0,0,0,0,0,0,0,0,0,2,0,2
"player",21900007,"Jae Crowder",4,3,1,"0",0,0,13,4,0,1,0,1,0,0,0,0
"player",21900007,"Jaren Jackson Jr.",13,11,2,"1",2,4,17,2,0,1,0,1,0,2,0,2
"player",21900007,"Jonas Valanciunas",6,5,1,"1",2,4,7,1,0,0,0,0,0,2,0,2
"player",21900007,"Dillon Brooks",2,2,0,"1",0,0,7,2,0,1,1,2,0,1,1,1
"player",21900007,"Ja Morant",4,3,1,"0",0,0,14,2,0,0,0,0,0,0,0,0
"player",21900007,"Brandon Clarke",9,8,1,"0",2,4,8,1,0,0,0,0,0,1,0,1
"player",21900007,"Tyus Jones",7,3,4,"0",0,0,15,4,0,1,0,1,0,0,0,0
"player",21900007,"Marko Guduric",1,0,1,"0",0,0,9,0,1,0,0,0,0,0,0,0
"player",21900007,"Grayson Allen",6,3,3,"0",0,0,5,0,0,0,0,0,0,0,0,0
"player",21900007,"Kyle Anderson",1,1,0,"1",2,4,4,1,0,0,0,0,0,2,1,2
"player",21900007,"Bruno Caboclo",4,4,0,"0",0,0,2,1,0,0,1,1,0,0,0,0
"player",21900007,"De'Anthony Melton",0,0,0,"0",0,0,0,0,0,0,0,0,0,0,0,0
"player",21900007,"Justise Winslow",8,5,3,"0",0,0,27,2,0,0,0,0,0,1,0,1
"player",21900007,"Bam Adebayo",7,3,4,"1",5,11,14,3,0,2,1,3,1,2,1,3
"player",21900007,"Meyers Leonard",7,5,2,"2",2,4,0,1,0,0,0,0,0,3,0,3
"player",21900007,"Tyler Herro",7,1,6,"0",0,0,14,4,0,0,0,0,0,0,0,0
"player",21900007,"Kendrick Nunn",1,0,1,"1",0,0,24,2,0,0,0,0,0,2,0,2
"player",21900007,"Goran Dragic",11,8,3,"0",2,5,19,1,0,0,0,0,0,0,0,0
"player",21900007,"Derrick Jones Jr.",4,3,1,"1",1,2,4,0,0,1,0,1,0,1,0,1
"player",21900007,"Kelly Olynyk",7,6,1,"1",1,3,7,0,0,1,0,1,0,3,0,3
"player",21900007,"Duncan Robinson",6,4,2,"1",0,0,3,0,0,0,0,0,0,1,0,1
"player",21900007,"Chris Silva",5,4,1,"2",2,4,8,1,0,2,0,2,0,3,1,3
"player",21900007,"KZ Okpala",1,0,1,"0",0,0,0,0,0,0,0,0,0,0,0,0
"player",21900007,"Daryl Macon",0,0,0,"0",0,0,0,0,0,0,0,0,0,0,0,0
"player",21900008,"Gordon Hayward",6,4,2,"1",0,0,25,0,0,0,0,0,1,2,0,3
"player",21900008,"Jayson Tatum",9,6,3,"1",0,0,21,3,0,0,3,3,0,2,0,2
